Swedish,English
Gör vad du vill.,Do what you want.
Kan jag komma med dig?,Can I join you?
Jag gillar det fortfarande inte.,I still don't like it.
Gör som jag!,Act like I do!
Jag gjorde den där.,I made that one.
Jag har inte tid för dig.,I don't have time for you.
Du kan ta den.,You can have it.
Han känner inte mig.,He doesn't know me.
Vad vet du om honom?,What do you know about him?
Vi behöver dig.,We need you.
Det här är inte riktigt.,This isn't correct.
Jag är precis som du.,I'm just like you.
Var är alla?,Where's everyone?
Jag håller inte med dig.,I disagree with you.
Jag tycker att du är snäll.,I think you're nice.
Jag gillar honom.,I like him.
Jag bor här.,I live here.
Du borde gå.,You should go.
Bara du kan göra detta.,You alone can do this.
Jag trodde att jag var i tid.,I thought I was on time.
Kan jag hjälpa dig?,Can I help you?
Jag kan hjälpa dig.,I can help you.
Han sa att han inte vet.,He said that he doesn't know.
Jag håller inte med.,I beg to differ.
Kommer hon med?,"Is she coming, too?"
Kommer ni med oss?,Are you coming with us?
Så vad gjorde du?,So what did you do?
Vad såg du?,What did you see?
Jag kan inte riktigt göra det.,I can't really do that.
De vill ha mig.,They want me.
Är du rädd för mig?,Are you afraid of me?
Kan du komma?,Can you come?
Vi måste gå.,We need to go.
Prata inte med mig.,Don't talk to me.
Vad är allt det här?,What is all this?
Jag såg vad du gjorde.,I saw what you did.
Jag tror att vi borde gå.,I think we should go.
Här kommer de.,Here they come.
Jag åt för mycket.,I ate too much.
Jag kan inte göra mer.,I can't do any more.
Jag vill bara hjälpa dig.,I just want to help you.
Hon vill inte prata om det.,She doesn't want to talk about it.
Vad gör du?,What are you doing?
Jag kan inte hjälpa er.,I can't help you.
Han kommer att komma.,He will come.
Vad gjorde du?,What were you doing?
Vi älskar dig så mycket.,We love you so much.
Vad är det för fel på mig?,What is wrong with me?
Har du sett det här?,Have you seen this?
Jag är precis här.,I'm right here.
Jag är precis här.,We're right here.
Vad är det för fel med det?,What's wrong with that?
Jag vet allt det här.,I know all this.
Det verkar som att han känner till det.,It seems that he knows about it.
Vad är detta för?,What is this for?
Det är allt jag känner till om honom.,This is all that I know about him.
Jag kan inte engelska.,I don't know English.
Vill du inte åka?,Don't you want to go?
Vad är detta till?,What is this for?
Jag ska hjälpa dig.,I will help you.
Jag ska hjälpa dig.,I'll help you.
Vad är det för fel på dig?,What's wrong with you?
Var såg du henne?,Where did you see her?
Jag vet att det inte är lätt.,I know it's not easy.
Jag fick dig.,I've got you.
Tala inte med mig.,Don't talk to me.
Jag trodde att jag sa åt dig att inte komma.,I thought I told you not to come.
Vet du inte vem jag är?,Don't you know who I am?
Vad gjorde han efter det?,What did he do after that?
Jag vet inte vad klockan är.,I don't know what time it is.
Jag har inte tid för er.,I don't have time for you.
Se upp var du går.,Watch your step.
Jag vill inte prata om henne.,I don't want to speak about her.
Se på mig.,Watch me.
Jag såg dig aldrig.,I never saw you.
Jag såg aldrig dig.,I never saw you.
Jag behöver er.,I need you.
Har du ingenting att göra?,Don't you have something to do?
"Jag gillar engelska, men jag är inte så bra på att tala det.","I like English, but I cannot speak well."
Jag behöver någon.,I need somebody.
Vad har hon?,What does she have?
Behöver du något?,Do you need anything?
Jag vill inte tillbaka.,I don't wanna go back.
Jag har varit där mycket.,I've been there a lot.
Är de där åt mig?,Are those for me?
Vad är de där?,What are those?
Det är inte för att hon är vacker som jag gillar henne.,It is not because she is beautiful that I like her.
Vad är du rädd för?,What are you afraid of?
Jag har en till fråga.,I have another question.
Hur kan vi göra det?,How can we do that?
Vem tror du att du är?,Who do you think you are?
Jag är emot det.,I'm against it.
Jag såg henne i går.,I saw her yesterday.
Jag vet allt om dig.,I know all about you.
Jag vill inte spela.,I don't want to play.
Jag skulle vilja hjälpa till.,I'd like to help.
Vad är det för fel på honom?,What is wrong with him?
Jag skulle hjälpa dig om jag kunde.,I'd help you if I could.
Jag vill bara prata.,I just want to talk.
Jag tar det.,I'll get it.
Vad mer kan du göra?,What else can you do?
Jag trodde att du tyckte om mig.,I thought you liked me.
Jag skulle vilja se det.,I'd like to see that.
Vet ni inte vem jag är?,Don't you know who I am?
Du kan inte lämna mig.,You can't leave me.
Har ni sett den här?,Have you seen this?
Såg du det på riktigt?,Did you actually see it?
Du förstår inte.,You don't understand.
Jag gjorde det mot min vilja.,I did it against my will.
Du sa till honom.,You told him.
Vad gjorde du med den här boken?,What did you do with that book?
Jag sa åt dig att gå.,I told you to leave.
Hur mycket är det där?,How much is that?
Hur är det?,What's it like?
Älskar du henne?,Do you love her?
Hur tror du att jag känner mig?,How do you think I feel?
Det var en stor en.,That's a big one.
Hur mycket vill du ha?,How much do you want?
Jag vill bara hjälpa er.,I just want to help you.
Har ni ingenting att göra?,Don't you have something to do?
Det är någonting med honom som jag inte tycker om.,There is something about him I don't like.
Hur vet du det?,How do you know that?
Finns vi?,Do we exist?
Hur vet du det?,How can you know that?
Såg du den på riktigt?,Did you actually see it?
Jag måste köpa en.,I must buy one.
Vad kan du ge mig?,What can you give me?
Jag skulle vilja hjälpa dig.,I'd like to help you.
Ingen vet om han älskar henne eller inte.,No one knows whether he loves her or not.
Det finns ingenting jag kan göra.,There's nothing I can do.
Hörde du mig inte?,Didn't you hear me?
Jag trodde att ni tyckte om mig.,I thought you liked me.
Jag måste hjälpa honom.,I must help him.
Jag trodde att du gillade mig.,I thought you liked me.
Jag såg det faktiskt aldrig.,I never actually saw it.
Vad är detta?,What is this?
Vad är detta?,What's this?
Vad gör vi?,What are we doing?
Jag tar den.,I will take it.
Ta bara en.,Take only one.
Du får inte se.,You can't see.
Jag bad inte om det här.,I didn't ask for this.
Och vad sa de till mig?,And what did they tell me?
Jag känner henne inte.,I don't know her.
Jag är trött på det här.,I'm sick of this.
Vad för fråga är det där?,What kind of question is that?
Om du vill prata så prata.,"If you want to talk, talk."
Faktiskt så hittade jag på det där.,"Actually, I just made that up."
Prata med mig!,Talk to me!
Vad kan man göra åt det?,What can be done against it?
Kommer hon att komma?,Will she come?
Jag trodde att jag hörde dig.,I thought I heard you.
Det är min bok.,The book is mine.
De är inte alltid där.,They're not always there.
Vad mer kan ni göra?,What else can you do?
Du måste göra som jag säger.,You must do as I say.
Jag älskar henne.,I love her.
Jag äter här.,I eat here.
Hur var det?,What was it like?
Min engelska är inte bra.,My English is not good.
Hur tror ni att jag känner mig?,How do you think I feel?
Ni kan inte lämna mig.,You can't leave me.
Jag kan inte lämna dig.,I can't leave you.
Jag är din bror.,I am your brother.
Hur är den?,What's it like?
Och om han har fel?,What if he's wrong?
Hur ser det här ut?,How does this look?
"Jag tycker inte om honom, men jag gillar henne.","I do not like him, but I like her."
Kan jag få prata med dig?,Can I talk to you?
Ser jag bra ut?,Do I look OK?
Trodde du verkligen det?,Did you actually believe that?
Jag trodde att jag kände dig.,I thought I knew you.
Känner du honom?,Do you know him?
Förstår du mig?,Do you understand me?
Jag skulle hjälpa er om jag kunde.,I'd help you if I could.
Hur mycket vill ni ha?,How much do you want?
Hur gjorde du det?,How could you do that?
Hur tror du att jag känner?,How do you think I feel?
Vad gjorde du av den där boken?,What did you do with that book?
Känner vi dig?,Do we know you?
Jag tror att vi borde åka.,I think we should go.
"Han är min bror, inte min far.","He is my brother, not father."
"Han är min bror, inte min far.","He is my brother, not my father."
Jag trodde du tyckte om mig.,I thought you liked me.
Jag trodde att du skulle gilla det.,I thought you'd like it.
Hur kan jag hjälpa till?,How can I help?
Jag trodde att ni gillade mig.,I thought you liked me.
Jag kommer inte att följa med dig.,I'm not going with you.
Jag vet vad som är fel.,I know what's wrong.
Det jag skrev är inte engelska.,What I write is not English.
"Om du vill prata, prata.","If you want to talk, talk."
Vad ska vi ta oss till?,What'll we do?
Jag kommer att ta hand om det här.,I'll handle this.
Jag tycker vi borde göra mer än så.,I think we should do more than that.
Han visste inte vad han skulle göra.,He was at a loss to know what to do.
Tyckte du om det där?,Did you enjoy that?
Hur vet ni det?,How can you know that?
Jag såg aldrig er.,I never saw you.
Jag såg er aldrig.,I never saw you.
Ni förstår inte.,You don't understand.
Det visste jag inte.,I didn't know that.
Ni måste göra som jag säger.,You must do as I say.
Jag trodde att du skulle gilla den.,I thought you'd like it.
Du borde inte äta här.,You shouldn't eat here.
Han är min bror.,He is my brother.
Hur är han?,What is he like?
Jag vet inte riktigt.,I don't really know.
Han är min bror.,He's my brother.
Gör inte detta.,Don't do this.
Jag tyckte att det var bra.,I thought it was good.
Är allt där?,Is everything there?
Jag sa åt er att gå.,I told you to leave.
Du måste hjälpa henne.,You must help her.
Hörde ni mig inte?,Didn't you hear me?
De som inte önskar gå behöver inte det.,Those who do not wish to go need not go.
Känner jag honom?,Do I know him?
Vi ska se.,We shall see.
Jag var inte tvungen att gå.,I didn't have to go.
Vi visste inte vad vi skulle göra.,We didn't know what to do.
Skrev jag det där?,Did I write that?
Jag förstår inte vad du pratar om.,I don't understand what you are talking about.
Jag har inte så mycket pengar med mig.,I haven't got much money with me.
Hon gick ut.,She went out.
Hon gick ut.,She went inside.
Vad mer behöver du?,What else do you need?
Åt du något?,Did you eat anything?
Vi gör det när han kommer.,Let's do it when he comes.
Jag kommer att vänta här.,I'll wait here.
Vad vill du köpa?,What do you want to buy?
Vet du vem han var?,Do you know who he was?
Jag vet att det här är svårt.,I know this is hard.
Jag kommer aldrig att lämna dig.,I'll never leave you.
Jag vill gå tillbaka.,I want to go back.
Jag kan inte äta.,I can't eat.
Vad är det som är så roligt?,What's so funny?
Vad heter du?,What is your name?
Vad heter du?,What's your name?
Jag trodde att ni skulle gilla det.,I thought you'd like it.
Hur tror ni att jag känner?,How do you think I feel?
Han älskar henne.,He loves her.
Kan jag tänka på det?,Can I think about it?
Jag trodde ni tyckte om mig.,I thought you liked me.
Kan du inte tala engelska?,Can you not speak English?
Hur många vill ni ha?,How many do you want?
Han är mycket lång.,He is very tall.
Hörde du det där?,Did you hear that?
Hon gillar honom.,She likes him.
Det här är mitt hus.,This is my house.
Jag har inget emot att hjälpa till.,I don't mind helping.
Jag hatar dig väldigt mycket.,I hate you very much.
Jag trodde att ni skulle gilla den.,I thought you'd like it.
Vill du ha något att äta?,Do you want something to eat?
Jag är inte för trött.,I am not too tired.
Jag kan inte hitta det.,I can't find it.
Hur gjorde ni det?,How could you do that?
När fick du den här?,When did you get this?
Jag trodde du gillade mig.,I thought you liked me.
Jag kommer att berätta för dig.,I'll tell you.
Prata inte!,Don't talk!
Du måste inte äta.,You don't have to eat.
Jag vet vem som gjorde det.,I know who did it.
Prata inte.,Don't speak.
De gick ut.,They stepped outside.
"Fråga inte, bara gör det.","Don't ask questions, just do it."
Jag trodde att vi kunde prata.,I thought we could talk.
Du får prata hur mycket du vill.,You may talk as much as you like.
Jag har inget emot det.,I don't mind.
Jag ser inget!,I can't see!
Du pratar för mycket.,You talk too much.
Jag kan allt detta.,I know all this.
Jag har en katt.,I have a cat.
Ser man på!,"Well, would you look at that!"
De var mina.,They were mine.
Jag kan inte hitta den.,I can't find it.
Jag vill inte ha denna.,I don't want this.
Jag kan inte leva med det.,I can't live with it.
Är du rädd än?,Are you frightened yet?
Jag vet inte riktigt än.,I don't quite know yet.
Vet ni vem han var?,Do you know who he was?
Ni måste hjälpa henne.,You must help her.
Hon älskar honom.,She loves him.
Han förstår Er inte.,He doesn't understand you.
Jag tror inte att hon skulle förstå det.,I don't think she would understand it.
Han är snäll.,He is kind.
Kom med oss.,Come with us.
Jag vet inte vad du vill att jag ska säga.,I don't know what you want me to say.
Hon känner mig.,She knows me.
Den är för stor.,It's too big.
Vad tror du hände här?,What do you think happened here?
Hur ser det ut?,How does it look?
Vad har du gjort?,What've you done?
Han sa att han inte visste.,He said that he didn't know.
Jag ska ta hand om det här.,I'll handle this.
Hörde du det?,Did you hear it?
Jag kommer att följa med dig.,I'll go with you.
Jag kan inte göra det här längre.,I can't do this anymore.
Jag köpte inte den där boken.,I didn't buy that book.
Jag behöver att du går hem.,I need you to go home.
Jag har inte tid att läsa.,I don't have time to read.
Ge det till honom.,Give it to him.
Du får inte lämna mig.,You can't leave me.
Hon kommer aldrig i tid.,She is never on time.
Hur kan jag hjälpa?,How can I help?
Vad sa han?,What did he say?
Känner du henne?,Do you know her?
Ingen är för gammal för att lära sig.,Nobody is too old to learn.
Allt du behöver göra är att vänta och se.,All you have to do is wait and see.
Jag ska inte göra illa dig.,I'm not going to hurt you.
Vet du vem hon är?,You know who she is?
När fick ni den här?,When did you get this?
Jag trodde ni gillade mig.,I thought you liked me.
"Jag vet inte när han kommer, men när han gör det, kommer han att göra sitt bästa.","I don't know when he'll come, but when he does, he'll do his best."
Jag sa till henne en gång för alla att jag inte skulle gå och handla med henne.,I told her once and for all that I wouldn't go shopping with her.
Vem gick du med?,Who did you go with?
Jag trodde att du skulle hålla med.,I thought you'd agree.
Jag vet inte vad ni vill att jag ska säga.,I don't know what you want me to say.
Jag vet att det är svårt.,I know this is hard.
Jag går alltid.,I always walk.
Jag hatar dig.,I hate you.
Jag tycker att vi borde vänta.,I think we should wait.
Du hjälper inte till.,You're not helping.
Jag vet att du är arg.,I know you're angry.
Vem är du?,Who are you?
Hur ser den ut?,What's it like?
Jag är er bror.,I am your brother.
När kommer du att vara tillbaka?,When will you be back?
Det här är mina skor och det här är dina.,These are my shoes and those are yours.
Vad är klockan?,What's the time?
Jag såg allt.,I saw everything.
Jag kan inte bara stanna här.,I can't just stay here.
Kan jag få tala med henne?,Can I speak to her?
Han tycker inte om kaffe.,He doesn't like coffee.
Vi vet ingenting om honom.,We don't know anything about him.
Jag litar inte på någon.,I don't trust anyone.
Jag vill tro att jag vet vad jag pratar om.,I like to think I know what I'm talking about.
Hon måste hjälpa honom.,She needs to help him.
Hur gick det med allt?,How did it all work out?
Men vad vill du?,But what do you want?
Ge den till honom.,Give it to him.
Hur känner du dig?,How're you feeling?
Hur går det?,How's it coming?
När var det?,When was that?
Vad heter han?,What's his name?
Se på oss.,Watch us.
Jag vill inte ha dina hus.,I do not want your houses.
Jag trodde att du gick hem.,I thought you went home.
Kan du se dem?,Can you see them?
Får jag hjälpa?,Can I help?
Du skulle ha sett henne.,You should have seen her.
Ta min.,Take mine.
Jag tycker om din hund.,I like your dog.
Vad är det som tar så lång tid?,What's taking so long?
Jag vill inte leva med dig.,I don't want to live with you.
Jag vet inte precis när jag ska vara tillbaka.,I don't know exactly when I will be back.
Vad tror ni hände här?,What do you think happened here?
Jag ger inte upp.,I'm not giving up.
Jag känner mig gammal.,I feel old.
Jag har inte läst boken och inte vill jag göra det heller.,I have not read the book nor do I want to.
Vem tycker inte så?,Who doesn't think so?
Ingen vet.,No one knows.
Allt var väldigt bra.,Everything was very good.
Tala inte.,Don't speak.
Har jag fel?,Am I wrong?
Ni får inte lämna mig.,You can't leave me.
Det verkar som att han är trött.,He seems tired.
Jag kommer inte på någonting.,I can't think of anything.
Vad har ni gjort?,What've you done?
Vad är allt detta?,What is all this?
Du kom inte till skolan i går.,You did not come to school yesterday.
Hur lång tid har du på dig?,How long do you have?
Hon är inte så ung som hon ser ut.,She is not as young as she looks.
Din hund är här.,Your dog is here.
De vill att vi ska tro att vi lever i en demokrati.,They want us to believe that we are in a democracy.
Jag har inte sett av honom på ett tag.,I haven't seen anything of him for some time.
Känner vi er?,Do we know you?
Jag kan inte låta dig göra det.,I can't let you do that.
När sa du det där?,When did you say that?
Det var faktiskt mitt fel.,It was actually my fault.
Jag måste lämna dig.,I have to leave you.
Var fick du tag på den där?,Where did you get that?
Det visade sig att han visste allt om mig.,"As it turned out, he knew everything about me."
Jag litar på dig.,I trust you.
Jag vill inte gå till skolan.,I don't want to go to school.
Jag klarar mig.,I'll be fine.
Honom har hon inte sett på länge.,She has not seen him for a long time.
Hon har inte sett honom på länge.,She has not seen him for a long time.
Vem vill du prata med?,Who do you want to talk to?
Jag tar hand om det här.,I'll handle this.
Om han inte går i skolan tänker jag inte prata med honom längre.,"If he doesn't go to school, I will not talk to him anymore."
Kan du förklara vad det här är?,Would you explain what this is?
De ser bra ut.,They look good.
Jag trodde att ni gick hem.,I thought you went home.
Det är svårt för mig.,It is difficult for me.
Ge inte upp!,Don't give up!
Jag tror inte att kärlek finns.,I think love doesn't exist.
Den är väldigt stor.,It's very big.
Ni hjälper inte till.,You're not helping.
Det är ett par här.,There's a couple here.
Det var faktiskt inte så illa.,It actually wasn't that bad.
Jag vet allt detta.,I know all this.
Det är vad alla säger.,It is what everybody says.
Var inte arg på mig.,Don't be mad at me.
Han är lika gammal som jag.,He is as old as I.
Han är lika gammal som jag.,He's the same age as I.
Jag var inte tvungen att åka.,I didn't have to go.
Kom när du vill.,Come whenever you like.
Hur gammal är du?,How old are you?
Jag ska ta hand om det.,I'll handle it.
Jag ska berätta för dig.,I'll tell you.
Jag ser honom ofta.,I often see him.
"Jag tycker om att simma, men inte här.","I like swimming, but I don't like to swim here."
Ge det till henne.,Give it to her.
Jag kan inte göra det längre.,I can't do that anymore.
Kan de se oss?,Can they see us?
Jag kommer att följa dig.,I'll follow you.
Jag är i bilen.,I'm in the car.
Jag visste att du skulle gilla det.,I knew you'd like it.
Kan ni se dem?,Can you see them?
Hur länge har vi på oss?,How long have we got?
Hur länge har vi på oss?,How long do we have?
Jag har inget att skriva med.,I don't have anything to write with.
Du kan inte få oss att sluta.,You can't make us stop.
Vad skulle du vilja äta?,What would you like to eat?
Jag tror inte det blir bättre än så!,I don't think it gets any better than that!
Mår du inte bra?,Is something not well with you?
Hur mycket blir det?,How much will it be?
Jag behövde det här.,I needed this.
Jag tycker om att simma.,I like swimming.
Jag vill inte gifta mig.,I don't want to get married.
Kan du hitta den?,Can you find it?
Finns de?,Do they exist?
När sa ni det där?,When did you say that?
Jag vill inte ha den längre.,I don't want it anymore.
Jag behöver en bok att läsa.,I need a book to read.
Jag visste att du skulle gilla den.,I knew you'd like it.
Jag är arg på dig.,I'm mad at you.
Vi borde ge oss av.,We should get going.
Du borde ha kommit med oss.,You should have come with us.
Det är dags för mig att gå.,It is time I was going.
Det du fick lära dig är fel.,What you were taught is wrong.
Vem är han?,Who is he?
Ge den till henne.,Give it to her.
Vad vill du berätta för oss?,What do you want to tell us?
Hur många fick du?,How many did you get?
Jag tror att han var arg.,I think he was angry.
Han får komma.,He can come.
Jag vill bara vara till hjälp.,I only wish to help.
Så här långt ser det bra ut.,"So far, so good."
Hon kanske inte kommer.,She may not come.
Jag förstår.,I got it.
Behöver du en hand?,Do you need a hand?
Jag förstår.,I see.
De köpte det.,They bought it.
Kan jag ringa upp dig?,Can I call you again?
När sa du det?,When did you say that?
Jag kan äta.,I can eat.
Borde inte du gå hem?,Shouldn't you go home?
Jag vill bara ha roligt.,I just want to have fun.
Jag kan inte låta er göra det.,I can't let you do that.
Jag ska följa med dig.,I'll go with you.
Hon tyckte om det.,She liked it.
Det var i det huset som jag föddes i.,That house is the place where I was born.
Jag gör det om de betalar mig.,I'll do it if they pay me.
Jag har inga pengar på mig.,I have no money on me.
Hur kan du inte gilla honom?,How can you not like him?
"Vi ser inte saker som de är, utan som vi är.","We don't see things as they are, but as we are."
Han är redan en man.,He's already a man.
Jag fick ge upp.,I had to resign.
Han är på väg att gå.,He is about to leave.
Jag skulle vilja följa med dig.,I'd like to join you.
Jag bad inte om detta.,I didn't ask for this.
Ta mitt.,Take mine.
Jag önskar bara att jag kunde hjälpa er alla.,I only wish I could help all of you.
Jag vill bara gå hem.,I just want to go home.
Du kan inte gå ut dit.,You can't go out there.
Jag skulle vilja ha något att dricka.,I would like something to drink.
Kom när ni vill.,Come at any time you like.
Hon är snäll.,She is kind.
Han tycker om att simma.,He likes to swim.
Vi har sett henne.,We've seen her.
Är du fortfarande arg på mig?,Are you still mad at me?
Jag vill tala engelska.,I want to speak English.
Jag tycker inte om dig längre.,I don't like you anymore.
Jag tycker inte om dig längre.,I no longer like you.
Hon är lika lång som du.,She is as tall as you.
Min bror är väldigt lång.,My brother is very tall.
Var är ditt hus?,Where is your house?
Jag hittade det precis.,I just found it.
Du får bara prata engelska.,You have to speak only English.
Kan jag få en hund?,Can I get a dog?
Jag kunde inte förstå något ut av vad han sa.,I could not understand anything he said.
Jag kan inte göra det nu.,I can't do that now.
Hur gammal är han?,How big is he?
Jag är ledsen att jag har inte skrivit till dig på så länge.,I am sorry that I haven't written to you in such a long time.
Jag gillar din hund.,I like your dog.
Jag kan inte förstå.,I can't understand.
Sluta upp med det där.,Stop that.
Jag gick inte till skolan.,I didn't go to school.
Han har gått ut.,He has gone out.
Jag sa inget.,I didn't say anything.
Jag skulle vilja ha en till kopp kaffe.,I would like to have another cup of coffee.
Alla säger att han ser ut precis som sin far.,Everyone says that he looks just like his father.
Hon tyckte om den.,She liked it.
De köpte den.,They bought it.
Vad pratar hon om?,What is she talking about?
"Kom in och sitt ner, är du snäll.","Please, come in and sit down."
Kan vi bara gå hem?,Can we just go home?
Hon talar inte engelska.,She doesn't speak English.
Jag vill åka tillbaka.,I want to go back.
Du behöver bara be om det.,You only have to ask for it.
Jag har ingenting att läsa.,I don't have anything to read.
Verkar som om han är trött.,He seems tired.
Jag vet att detta är svårt.,I know this is hard.
Jag uppskattar det.,I appreciate that.
Du har inget att vara arg över.,There is nothing for you to be angry about.
De är för nära.,They are too close.
Vem håller du på?,Who are you rooting for?
Hur kan ni inte gilla honom?,How can you not like him?
Borde inte ni gå hem?,Shouldn't you go home?
Jag hittade den precis.,I just found it.
Jag äter en bok.,I eat a book.
Han är inte här längre.,He is no longer here.
Vad har hon gjort?,What has she done?
Kan du höra mig?,Can you hear me?
Jag köpte en bok.,I bought a book.
Hur många tog du?,How many did you take?
Hur lång tid har vi på oss?,How long have we got?
Kan du säga till mig när jag ska av?,Would you tell me when to get off?
Jag minns att jag var på ett skepp när jag var bara fem år gammal.,I remember being on a ship when I was only five years old.
Vem vet inte?,Who doesn't know?
Jag litar på er.,I trust you.
Har du ätit?,Have you eaten?
Du behöver bara be om den.,You only have to ask for it.
Jag behöver inte din hjälp.,I don't need your help.
Hur klarar du det?,How do you manage?
När sa ni det?,When did you say that?
Han är lika lång som min far.,He is as tall as my father.
Känner du dem?,Do you know them?
Jag har ingen katt.,I do not have a cat.
Jag har ingen katt.,I don't have a cat.
Jag behövde inte gå.,I didn't have to go.
Det var aldrig svårt för oss att hitta något att prata om.,It was never hard for us to find something to talk about.
Min engelska är allt men inte bra.,My English is anything but good.
Jag tar hand om det.,I'll handle it.
Jag gjorde ingenting.,I did nothing.
Vi kan inte göra det nu.,We can't do it now.
Jag kunde hjälpa henne.,I was able to help her.
Vad tänker du på?,What are you thinking of?
Er hund är här.,Your dog is here.
Jag var tvungen att ge upp.,I had to resign.
Vill du följa med?,Do you want to come along?
Jag är för gammal för den här världen.,I'm too old for this world.
Vi litar på honom.,We trust him.
